,nasdaq_t100,short_term_rates,long_term_rates,dollar_index,vix_index,Laid_Off_Count
2020-12-24,7523.2998046875,0.09,0.94,90.33000183105469,21.530000686645508,0.0
2020-12-28,7495.5,0.11,0.94,90.33999633789062,21.700000762939453,0.0
2020-12-29,7458.64990234375,0.10,0.94,90.01000213623047,23.079999923706055,0.0
2020-12-30,7529.83984375,0.08,0.93,89.62999725341797,22.770000457763672,0.0
2020-12-31,7541.0498046875,0.09,0.93,89.94000244140625,22.75,0.0
2021-01-04,7463.18017578125,0.09,0.93,89.87999725341797,26.969999313354492,0.0
2021-01-05,7544.919921875,0.09,0.96,89.44000244140625,25.34000015258789,0.0
2021-01-06,7427.18017578125,0.09,1.04,89.52999877929688,25.06999969482422,1800.0
2021-01-07,7670.759765625,0.09,1.08,89.83000183105469,22.3700008392334,100.0
2021-01-08,7751.66015625,0.08,1.13,90.0999984741211,21.559999465942383,0.0
2021-01-11,7723.3798828125,0.08,1.15,90.54000091552734,24.079999923706055,69.0
2021-01-12,7776.0400390625,0.09,1.15,90.05000305175781,23.329999923706055,0.0
2021-01-13,7774.02001953125,0.09,1.10,90.31999969482422,22.209999084472656,315.0
2021-01-14,7831.3798828125,0.09,1.15,90.23999786376953,23.25,0.0
2021-01-15,7729.1201171875,0.09,1.11,90.77999877929688,24.34000015258789,0.0
2021-01-19,7918.9501953125,0.09,1.10,90.5,23.239999771118164,0.0
2021-01-20,7974.97998046875,0.08,1.10,90.47000122070312,21.579999923706055,21.0
2021-01-21,8007.080078125,0.09,1.12,90.12999725341797,21.31999969482422,1877.0
2021-01-22,7945.0,0.08,1.10,90.23999786376953,21.90999984741211,0.0
2021-01-25,7953.0400390625,0.09,1.05,90.38999938964844,23.190000534057617,980.0
2021-01-26,7876.31982421875,0.07,1.05,90.16999816894531,23.020000457763672,0.0
2021-01-27,7548.91015625,0.08,1.04,90.6500015258789,37.209999084472656,1820.0
2021-01-28,7702.56982421875,0.07,1.07,90.45999908447266,30.209999084472656,0.0
2021-01-29,7576.52978515625,0.06,1.11,90.58000183105469,33.09000015258789,0.0
2021-02-01,7832.35986328125,0.07,1.09,91.0199966430664,30.239999771118164,45.0
2021-02-02,7994.22998046875,0.07,1.12,91.19999694824219,25.559999465942383,0.0
2021-02-03,7854.9599609375,0.04,1.15,91.12000274658203,22.90999984741211,87.0
2021-02-04,7970.3701171875,0.04,1.15,91.52999877929688,21.770000457763672,13.0
2021-02-05,7988.4599609375,0.03,1.19,91.04000091552734,20.8700008392334,0.0
2021-02-08,8121.08984375,0.05,1.19,90.93000030517578,21.239999771118164,0.0
2021-02-09,8155.9599609375,0.04,1.18,90.44000244140625,21.6299991607666,323.0
2021-02-10,8201.919921875,0.05,1.15,90.37000274658203,21.989999771118164,0.0
2021-02-11,8384.099609375,0.05,1.16,90.41999816894531,21.25,0.0
2021-02-12,8470.0498046875,0.04,1.20,90.4800033569336,19.969999313354492,0.0
2021-02-16,8480.8603515625,0.04,1.30,90.51000213623047,21.459999084472656,0.0
2021-02-17,8349.33984375,0.04,1.29,90.94999694824219,21.5,0.0
2021-02-18,8274.1201171875,0.03,1.29,90.58999633789062,22.489999771118164,0.0
2021-02-19,8408.8798828125,0.04,1.34,90.36000061035156,22.049999237060547,0.0
2021-02-22,8119.669921875,0.03,1.37,90.01000213623047,23.450000762939453,200.0
2021-02-23,8059.7900390625,0.04,1.37,90.16999816894531,23.110000610351562,200.0
2021-02-24,8207.6796875,0.03,1.38,90.18000030517578,21.34000015258789,69.0
2021-02-25,7795.56005859375,0.04,1.54,90.12999725341797,28.889999389648438,0.0
2021-02-26,7888.02978515625,0.04,1.44,90.93000030517578,27.950000762939453,0.0
2021-03-01,8155.8701171875,0.05,1.45,91.04000091552734,23.350000381469727,50.0
2021-03-02,7949.2900390625,0.04,1.42,90.79000091552734,24.100000381469727,0.0
2021-03-03,7660.2900390625,0.05,1.47,90.94999694824219,26.670000076293945,46.0
2021-03-04,7395.33984375,0.04,1.54,91.62999725341797,28.56999969482422,0.0
2021-03-05,7541.2099609375,0.04,1.56,91.9800033569336,24.65999984741211,0.0
2021-03-08,7197.58984375,0.05,1.59,92.30999755859375,25.469999313354492,0.0
